	[]
31752287	['colorectal cancer', 'rectal cancer', 'gastrointestinal', 'colon cancer']
33127883	['gastrointestinal', 'breast cancer', 'bladder cancer', 'colorectal cancer', 'rectal cancer']
33120912	['colorectal cancer', 'rectal cancer', 'hepatocellular carcinoma', 'colon cancer']
33127883	['bladder cancer', 'colorectal adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'rectal adenocarcinoma']
30061675	['pancreatic cancer', 'squamous cell carcinoma', 'esophageal cancer']
33127883	['colorectal cancer', 'rectal cancer', 'bladder cancer']
32161258	['sarcoma', 'childhood kidney cancer', 'malignant rhabdoid tumour', 'kidney cancer', 'breast cancer', 'clear cell sarcoma', 'childhood cancer', 'renal cell carcinoma', ' rcc ']
29131160	['primary liver cancer', 'liver cancer', 'hepatocellular carcinoma', 'cholangiocarcinoma']
32161258	['kidney cancer', ' rcc ']
30067989	['hepatocellular carcinoma', 'primary liver cancer', 'bladder cancer', 'liver cancer', 'hepatoma']
32161258	['malignant rhabdoid tumour', 'kidney cancer', 'colorectal cancer', 'rectal cancer', ' rcc ']
29131160	['primary liver cancer', 'liver cancer', 'hepatocellular carcinoma', 'cholangiocarcinoma']
30067989	['liver cancer', 'hepatocellular carcinoma', 'epithelioma', 'cholangiocarcinoma']
32161258	['childhood kidney cancer', 'malignant rhabdoid tumour', 'kidney cancer', 'colorectal cancer', 'rectal cancer']
29131160	['primary liver cancer', 'liver cancer']
25315765	['gastric adenocarcinoma', 'gastric cancer', 'colon cancer']
30067989	['cholangiocarcinoma', 'primary liver cancer', 'liver cancer', 'epithelioma', 'colorectal cancer', 'rectal cancer']
32771979	['gastric cancer', 'prostate cancer', 'nsclc', 'breast cancer', 'bladder cancer', 'liver cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'lung adenocarcinoma', 'lung cancer']
25315765	['pancreatic cancer', 'breast cancer', 'gastric cancer', 'gastric adenocarcinoma']
30067989	['cholangiocarcinoma', 'primary liver cancer', 'bladder cancer', 'liver cancer', 'rectal cancer', 'epithelioma', 'colorectal cancer', 'pancreatic cancer', 'hepatoma']
32771979	['prostate cancer', 'squamous cell carcinoma', 'lung squamous cell carcinoma', 'breast cancer', 'bladder cancer', 'liver cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'lung adenocarcinoma', 'gastric cancer', 'lung cancer']
29131160	['primary liver cancer', 'liver cancer']
32771979	['lung squamous cell carcinoma', 'squamous cell carcinoma', 'lung adenocarcinoma', 'lung cancer']
25315765	['ovarian cancer', 'prostate cancer', 'gastrointestinal', 'colon cancer', 'gastric adenocarcinoma', 'gastric cancer', 'gastric carcinoma']
32161258	['wilms tumor', 'atypical teratoid rhabdoid tumour', 'childhood kidney cancer', 'malignant rhabdoid tumour', 'kidney cancer', 'blood cancer']
31752287	['gastrointestinal', 'colon cancer', 'colon carcinoma', 'colorectal cancer', 'rectal cancer', 'mammary tumor']
30061675	['prostate cancer', 'multiple myeloma', 'pancreatic cancer', 'primary liver cancer', 'breast cancer', 'b-all', 'esophageal cancer', 'liver cancer', 'oesophageal adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'myeloma', 'esophageal carcinoma', 'gastric cancer']
29463813	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
33120912	['sarcoma', 'hepatocellular carcinoma', 'ovarian cancer', 'breast cancer', 'kaposi sarcoma', 'colorectal adenocarcinoma', 'colon carcinoma', 'colorectal cancer', 'rectal cancer', 'hepatoma', 'rectal adenocarcinoma', 'metastatic cancer', 'lung cancer']
29463813	['colorectal cancer', 'rectal cancer', 'pancreatic cancer', 'colon cancer']
33127883	['hepatocellular carcinoma', 'gastrointestinal', 'breast cancer', 'malignant pleural mesothelioma', 'bladder cancer', 'mesothelioma', 'colorectal cancer', 'rectal cancer']
32066753	['sarcoma', 'endocrine pancreas', 'lung cancer', 'rectal cancer', 'pancreatic adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'mammary tumor']
29131160	['hepatocellular carcinoma', 'prostate cancer', 'cholangiocarcinoma', 'pancreatic cancer', 'gastrointestinal', 'primary liver cancer', 'intrahepatic cholangiocarcinoma', 'cholangiolocellular carcinoma', 'liver cancer', 'rectal cancer', 'leukemia', 'lymphoma', 'colorectal cancer', 'fibrolamellar hepatocellular carcinoma', 'hepatoma', 'biliary tract cancer']
33377121	['melanoma', 'gastrointestinal']
32411709	['pancreatic cancer', 'pancreatic ductal adenocarcinoma']
33322840	['sarcoma', ' rb ', 'head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'head and neck cancer', 'head and neck tumours', 'pancreatic cancer', 'soft tissue sarcoma', 'neck cancer']
32771979	['small cell lung cancer', 'prostate cancer', 'squamous cell carcinoma', 'gastrointestinal', 'primary liver cancer', 'nsclc', 'bladder cancer', 'liver cancer', 'non-small cell lung cancer', 'pancreatic cancer', 'lung adenocarcinoma', 'lung cancer']
